user_id,movie_id,rating,date
953,5284,9,2024-09-26 20:06:30.200527
259,8292,1,2024-09-25 20:08:48.784320
642,1169,3,2024-10-15 20:06:32.735592
292,6859,10,2024-09-16 20:09:11.250483
107,4571,3,2024-07-14 20:07:15.739259
286,7670,9,2024-10-14 20:10:30.649634
213,566,5,2024-10-01 20:08:50.998633
981,2587,9,2024-09-24 20:07:12.716852
15,9235,10,2024-08-14 20:09:37.002292
757,632,9,2024-07-29 20:09:59.767985
86,4089,7,2024-09-14 20:07:37.003970
384,6314,9,2024-10-16 20:10:29.467373
184,3819,9,2024-10-19 20:08:11.349436
6,655,5,2024-09-29 20:08:06.618717
969,9187,7,2024-10-12 20:08:51.551713
451,5467,10,2024-02-05 20:09:52.266349
434,5278,7,2024-08-03 20:10:25.736453
384,7905,9,2024-07-11 20:07:29.553244
193,7055,9,2024-10-15 20:08:49.802995
415,1935,3,2024-09-29 20:09:11.901556
950,448,6,2024-10-08 20:07:02.069596
634,9055,8,2024-09-07 20:09:10.240568
221,5699,5,2024-09-12 20:06:45.416959
204,4340,8,2024-06-25 20:09:09.201576
325,7391,9,2024-09-23 20:06:52.465881
370,1812,8,2024-10-03 20:08:03.217261
592,8152,9,2024-09-05 20:07:51.751378
365,596,3,2024-09-30 20:09:21.499838
113,387,8,2024-10-11 20:08:35.351340
265,2376,4,2024-10-12 20:10:09.158133
200,4860,9,2024-10-06 20:09:27.835117
157,561,7,2024-09-17 20:10:09.269253
916,231,2,2024-10-06 20:07:24.352147
615,7603,8,2024-08-31 20:07:03.085380
842,6738,8,2024-10-20 20:06:48.050036
634,1588,9,2024-10-09 20:10:16.101041
313,2554,8,2024-10-18 20:06:58.533207
739,8127,8,2024-09-22 20:10:02.483165
181,6716,9,2024-08-13 20:10:31.651541
858,552,8,2024-08-04 20:08:52.384777
243,7449,5,2024-10-11 20:07:20.879610
805,1994,2,2024-10-06 20:07:24.355518
949,9194,6,2024-10-11 20:10:37.720363
608,8690,7,2024-09-20 20:07:41.787010
982,3273,10,2024-10-13 20:08:06.384517
847,2247,10,2024-05-25 20:08:33.903206
955,8887,6,2024-10-15 20:10:00.332850
42,2436,6,2024-10-20 20:09:11.515125
348,8669,6,2024-10-12 20:08:11.232724
851,5852,5,2024-10-18 20:09:11.602062
805,7879,8,2024-09-30 20:10:24.584816
985,9040,8,2024-09-07 20:07:25.987985
158,3883,1,2024-10-16 20:08:21.229434
334,8802,10,2024-02-15 20:07:05.985297
220,9343,7,2024-10-14 20:08:48.485782
603,3415,5,2024-10-19 20:08:54.483151
128,4280,6,2024-10-07 20:06:57.167085
241,7421,5,2024-10-17 20:06:54.200459
922,7,6,2024-10-20 20:09:35.716459
854,8743,9,2024-04-23 20:09:42.070723
179,8133,9,2024-10-19 20:09:14.152838
877,9228,6,2024-09-15 20:10:11.101084
136,1526,5,2024-10-19 20:06:51.166638
415,1185,10,2024-10-10 20:08:01.036108
379,1181,10,2024-07-08 20:10:22.569105
648,4190,5,2024-10-07 20:08:18.884282
127,2382,2,2024-10-09 20:10:41.583404
286,7968,9,2024-09-30 20:06:44.800066
355,1356,9,2024-08-10 20:10:08.036907
631,1883,9,2024-05-09 20:08:53.451725
772,8261,5,2024-10-20 20:10:12.884801
21,7079,10,2024-07-14 20:10:33.402659
858,5785,5,2024-10-03 20:07:36.352801
582,3655,10,2024-10-18 20:07:59.268886
739,5983,7,2024-07-18 20:07:22.352470
397,2938,9,2024-09-20 20:10:39.518795
183,8349,8,2024-10-12 20:07:33.401019
173,1221,10,2024-09-30 20:07:31.385337
510,2678,9,2024-10-12 20:08:49.769881
68,3747,10,2024-07-09 20:10:33.951692
64,486,3,2024-04-18 20:07:27.535207
738,3427,5,2024-09-04 20:08:36.233706
204,3930,6,2024-06-24 20:10:09.899504
845,6238,10,2024-08-24 20:07:34.451346
107,2907,2,2024-10-03 20:08:32.936141
591,3969,6,2024-10-07 20:07:29.134342
297,7286,10,2024-10-08 20:06:31.967304
44,9002,1,2024-09-23 20:07:35.319403
871,9200,10,2024-07-21 20:07:34.701927
853,5293,7,2024-04-08 20:10:12.299831
488,2269,8,2024-10-04 20:06:46.000419
223,4404,6,2024-10-10 20:07:31.668093
216,2085,10,2024-09-13 20:08:50.267277
6,4865,9,2024-10-20 20:06:37.750552
297,3890,5,2024-10-02 20:06:35.615808
809,4062,7,2024-10-12 20:09:00.184577
659,3328,7,2024-10-03 20:06:59.033251
63,7823,9,2024-07-20 20:08:49.368726
176,2485,6,2024-08-31 20:06:58.809151
961,6672,5,2024-05-14 20:07:17.785050
193,6231,6,2024-09-22 20:07:20.522320
220,8969,5,2024-10-10 20:08:55.584133
470,4677,9,2024-10-15 20:09:15.169511
554,1772,8,2024-10-16 20:08:10.282747
586,6574,6,2024-10-16 20:08:41.350608
958,8761,4,2024-08-11 20:06:37.985222
485,1171,10,2024-10-17 20:07:51.702001
204,4013,5,2024-08-25 20:10:31.883325
182,8669,7,2024-09-15 20:08:47.967670
